puuid,tier,rank_name,kills,deaths,assists,score,hit_accuracy,time_on_target,aim_deviation,reaction_time,shots_fired,shots_hit,wallbang,kill_distance,is_cheating,kda,kd_ratio,score_per_kill,sub_100ms_reaction,sub_50ms_reaction,precision_score,tier_relative_kills,tier_relative_deaths,tier_relative_score,kills_z,deaths_z,score_z
player_87397,1,iron,19,7,8,1359,1.0,44.9,2.718,269.5,1,1,0,336.58967601517435,1,3.857142857142857,2.7142857142857144,71.52631578947368,0,0,0.36791758646063283,11,-8,459,2.75,-2.6666666666666665,2.295
player_59615,12,gold,8,7,6,1431,0.25,313.5,0.4,458.6,4,1,0,355.25441587684725,0,2.0,1.1428571428571428,178.875,0,0,0.625,-6,-3,-369,-1.5,-1.0,-1.23
player_83000,20,ascendant,40,7,15,7438,1.0,38.5,2.279,141.6,3,3,0,142.88351899361928,1,7.857142857142857,5.714285714285714,185.95,0,0,0.43878894251864853,20,0,4638,5.0,0.0,11.595
player_28131,24,immortal,15,3,8,3366,1.0,205.9,1.354,471.1,5,5,0,496.8542341572627,0,7.666666666666667,5.0,224.4,0,0,0.7385524372230428,-7,-3,166,-1.75,-1.0,0.415
player_44522,4,bronze,9,15,8,1108,1.0,204.7,1.328,474.4,2,2,0,877.9957289189965,0,1.1333333333333333,0.6,123.11111111111111,0,0,0.753012048192771,-1,2,8,-0.25,0.6666666666666666,0.032
player_72296,27,radiant,31,5,10,3365,1.0,395.8,1.769,476.1,8,8,0,230.10606250162115,0,8.2,6.2,108.54838709677419,0,0,0.5652911249293386,6,1,-235,1.5,0.5,-0.5222222222222223
player_80678,8,silver,15,7,9,2704,1.0,64.3,2.374,217.1,2,2,0,568.818178331178,1,3.4285714285714284,2.142857142857143,180.26666666666668,0,0,0.42122999157540014,3,-5,1304,0.75,-1.6666666666666667,4.346666666666667
player_65296,26,radiant,27,3,11,4057,0.5,459.3,1.49,610.9,4,2,0,164.6577662911773,0,12.666666666666666,9.0,150.25925925925927,0,0,0.33557046979865773,2,-1,457,0.5,-0.5,1.0155555555555555
player_82845,26,radiant,26,2,9,2912,0.3333333333333333,123.4,1.775,413.6,3,1,0,675.2086492337017,0,17.5,13.0,112.0,0,0,0.18779342723004694,1,-2,-688,0.25,-1.0,-1.528888888888889
player_36772,19,ascendant,30,5,7,5268,1.0,10.0,2.453,194.4,1,1,0,68.7954940384907,1,7.4,6.0,175.6,0,0,0.4076640847941297,10,-2,2468,2.5,-0.6666666666666666,6.17
player_82692,15,platinum,15,0,15,4472,1.0,36.2,2.744,137.1,3,3,0,905.3507828460746,1,30.0,15.0,298.1333333333333,0,0,0.36443148688046645,-1,-9,2372,-0.25,-3.0,6.777142857142858
player_44335,27,radiant,25,4,10,2965,0.6666666666666666,333.6,1.002,415.5,3,2,0,860.7038050339968,0,8.75,6.25,118.6,0,0,0.665335994677312,0,0,-635,0.0,0.0,-1.4111111111111112
player_41029,22,immortal,40,1,13,4811,1.0,52.9,0.476,142.7,1,1,0,470.66527384118746,1,53.0,40.0,120.275,0,0,2.100840336134454,18,-5,1611,4.5,-1.6666666666666667,4.0275
player_62227,10,gold,17,5,6,2234,0.4,316.8,1.671,511.9,5,2,0,345.69409887934154,0,4.6,3.4,131.41176470588235,0,0,0.23937761819269898,3,-5,434,0.75,-1.6666666666666667,1.4466666666666668
player_97900,13,platinum,45,4,8,4485,1.0,36.8,1.219,168.4,2,2,0,664.9020679769314,1,13.25,11.25,99.66666666666667,0,0,0.8203445447087776,29,-5,2385,7.25,-1.6666666666666667,6.814285714285714
player_89516,20,ascendant,42,1,17,6805,1.0,33.8,2.81,107.1,3,3,0,806.5308549584448,1,59.0,42.0,162.02380952380952,0,0,0.35587188612099646,22,-6,4005,5.5,-2.0,10.0125
player_60328,16,diamond,20,6,10,4465,1.0,47.0,3.04,109.6,3,3,0,801.3980346868839,1,5.0,3.3333333333333335,223.25,0,0,0.32894736842105265,2,-2,1965,0.5,-0.6666666666666666,5.614285714285714
player_81810,25,radiant,29,2,10,3076,1.0,235.2,1.399,343.8,2,2,0,150.80192306466148,0,19.5,14.5,106.06896551724138,0,0,0.7147962830593281,4,-2,-524,1.0,-1.0,-1.1644444444444444
player_86556,3,iron,12,6,9,1333,0.6666666666666666,10.0,1.529,182.1,3,2,0,668.8432477045725,1,3.5,2.0,111.08333333333333,0,0,0.4360148245040331,4,-9,433,1.0,-3.0,2.165
player_13552,27,radiant,46,1,15,7418,1.0,22.6,1.978,260.6,2,2,0,19.387109119206066,1,61.0,46.0,161.2608695652174,0,0,0.5055611729019212,21,-3,3818,5.25,-1.5,8.484444444444444
player_91439,21,ascendant,33,4,13,5543,0.6666666666666666,53.5,2.632,298.0,3,2,0,928.9445247160886,1,11.5,8.25,167.96969696969697,0,0,0.2532928064842958,13,-3,2743,3.25,-1.0,6.8575
player_49529,23,immortal,24,10,10,2939,1.0,367.1,0.745,657.3,2,2,0,435.4689081897808,0,3.4,2.4,122.45833333333333,0,0,1.342281879194631,2,4,-261,0.5,1.3333333333333333,-0.6525
player_87656,20,ascendant,22,4,6,2844,0.3333333333333333,231.7,2.5,403.6,6,2,0,596.1307658559488,0,7.0,5.5,129.27272727272728,0,0,0.13333333333333333,2,-3,44,0.5,-1.0,0.11
player_94659,17,diamond,39,0,18,4437,1.0,15.7,1.944,153.7,2,2,0,721.2882988098448,1,57.0,39.0,113.76923076923077,0,0,0.51440329218107,21,-8,1937,5.25,-2.6666666666666665,5.534285714285715
player_23176,7,silver,17,0,7,2279,0.6666666666666666,65.1,1.657,274.5,3,2,0,284.3446148602082,1,24.0,17.0,134.05882352941177,0,0,0.40233353450010056,5,-12,879,1.25,-4.0,2.93
player_99974,2,iron,16,9,2,1555,1.0,12.2,1.033,174.9,1,1,0,305.3978552642438,1,2.0,1.7777777777777777,97.1875,0,0,0.9680542110358181,8,-6,655,2.0,-2.0,3.275
player_10350,25,radiant,40,0,17,6261,0.5,53.1,2.021,209.4,2,1,0,826.6512323827988,1,57.0,40.0,156.525,0,0,0.24740227610094015,15,-4,2661,3.75,-2.0,5.913333333333333
player_49857,20,ascendant,20,3,8,3000,1.0,451.8,2.771,739.5,10,10,0,40.19975124301154,0,9.333333333333334,6.666666666666667,150.0,0,0,0.36088054853843377,0,-4,200,0.0,-1.3333333333333333,0.5
player_21959,9,silver,14,16,4,1139,0.25,319.3,0.985,447.9,8,2,0,486.5624934168273,0,1.125,0.875,81.35714285714286,0,0,0.25380710659898476,2,4,-261,0.5,1.3333333333333333,-0.87
player_67939,14,platinum,21,10,5,1814,1.0,262.7,1.215,336.0,1,1,0,117.43611028980817,0,2.6,2.1,86.38095238095238,0,0,0.8230452674897119,5,1,-286,1.25,0.3333333333333333,-0.8171428571428572
player_69871,17,diamond,17,5,6,2543,1.0,367.2,1.465,598.7,1,1,0,865.2672246190768,0,4.6,3.4,149.58823529411765,0,0,0.68259385665529,-1,-3,43,-0.25,-1.0,0.12285714285714286
player_34727,11,gold,9,9,4,1873,0.6666666666666666,421.5,1.71,712.7,3,2,0,100.30777636853466,0,1.4444444444444444,1.0,208.11111111111111,0,0,0.3898635477582846,-5,-1,73,-1.25,-0.3333333333333333,0.24333333333333335
player_71537,1,iron,7,12,3,804,0.5,295.0,1.664,502.8,2,1,0,433.9892279769166,0,0.8333333333333334,0.5833333333333334,114.85714285714286,0,0,0.3004807692307692,-1,-3,-96,-0.25,-1.0,-0.48
player_66450,15,platinum,32,4,14,3615,0.6666666666666666,29.2,1.445,137.2,3,2,0,898.9343468796818,1,11.5,8.0,112.96875,0,0,0.46136101499423293,16,-5,1515,4.0,-1.6666666666666667,4.328571428571428
player_49599,3,iron,6,4,5,1797,1.0,77.3,1.981,129.3,2,2,0,910.589753950702,1,2.75,1.5,299.5,0,0,0.5047955577990914,-2,-11,897,-0.5,-3.6666666666666665,4.485
player_99241,20,ascendant,45,5,17,4534,1.0,39.0,1.498,275.9,2,2,0,971.5282908901831,1,12.4,9.0,100.75555555555556,0,0,0.6675567423230975,25,-2,1734,6.25,-0.6666666666666666,4.335
player_71385,9,silver,34,6,19,2245,0.5,56.9,2.177,220.6,2,1,0,822.3867034430942,1,8.833333333333334,5.666666666666667,66.02941176470588,0,0,0.22967386311437757,22,-6,845,5.5,-2.0,2.816666666666667
player_70852,16,diamond,15,2,12,3989,1.0,74.2,2.639,237.6,1,1,0,419.13148295015947,1,13.5,7.5,265.93333333333334,0,0,0.3789314134141721,-3,-6,1489,-0.75,-2.0,4.2542857142857144
